,url
373,https://www.wga.hu/art/a/andrea/firenze/spanish/2east14.jpg
374,https://www.wga.hu/art/a/andrea/firenze/spanish/3west.jpg
375,https://www.wga.hu/art/a/andrea/firenze/spanish/3west1.jpg
376,https://www.wga.hu/art/a/andrea/firenze/spanish/3west2.jpg
377,https://www.wga.hu/art/a/andrea/firenze/spanish/3west3.jpg
378,https://www.wga.hu/art/a/andrea/firenze/spanish/3west4.jpg
379,https://www.wga.hu/art/a/andrea/firenze/spanish/3west5.jpg
380,https://www.wga.hu/art/a/andrea/firenze/spanish/4south1.jpg
381,https://www.wga.hu/art/a/andrea/firenze/spanish/5vault.jpg
382,https://www.wga.hu/art/a/andrea/firenze/spanish/5vault1.jpg
383,https://www.wga.hu/art/a/andrea/firenze/spanish/5vault2.jpg
384,https://www.wga.hu/art/a/andrea/firenze/spanish/5vault3.jpg
385,https://www.wga.hu/art/a/andrea/firenze/spanish/5vault4.jpg
386,https://www.wga.hu/art/a/andrea/firenze/various/10saint.jpg
387,https://www.wga.hu/art/a/andrea/firenze/various/10saint1.jpg
388,https://www.wga.hu/art/a/andrea/firenze/various/10saint2.jpg
389,https://www.wga.hu/art/a/andrea/firenze/various/10saint3.jpg
390,https://www.wga.hu/art/a/andrea/firenze/various/10saint4.jpg
391,Error
392,https://www.wga.hu/art/a/andrea/firenze/various/x_crucif.jpg
393,https://www.wga.hu/art/a/andrea/firenze/various/x_madonn.jpg
394,https://www.wga.hu/art/a/andrea/firenze/various/x_madonx.jpg
395,Error
396,https://www.wga.hu/art/a/andrea/murano/polyptic.jpg
397,https://www.wga.hu/art/a/andrea/murano/polyptyc.jpg
398,https://www.wga.hu/art/a/andrea/murano/polyptyx.jpg
399,https://www.wga.hu/art/a/andrea/castagno/1_1440s/01crucif.jpg
400,https://www.wga.hu/art/a/andrea/castagno/1_1440s/021johnb.jpg
401,https://www.wga.hu/art/a/andrea/castagno/1_1440s/022god.jpg
402,https://www.wga.hu/art/a/andrea/castagno/1_1440s/023johne.jpg
403,https://www.wga.hu/art/a/andrea/castagno/1_1440s/024mark.jpg
404,https://www.wga.hu/art/a/andrea/castagno/1_1440s/05pazzi.jpg
405,https://www.wga.hu/art/a/andrea/castagno/1_1440s/06apollo.jpg
406,https://www.wga.hu/art/a/andrea/castagno/1_1440s/07apollo.jpg
407,https://www.wga.hu/art/a/andrea/castagno/1_1440s/07passi0.jpg
408,https://www.wga.hu/art/a/andrea/castagno/1_1440s/07passi1.jpg
409,https://www.wga.hu/art/a/andrea/castagno/1_1440s/07passi2.jpg
410,https://www.wga.hu/art/a/andrea/castagno/1_1440s/07passi3.jpg
411,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts1.jpg
412,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts2.jpg
413,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts3.jpg
414,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts4.jpg
415,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts5.jpg
416,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts6.jpg
417,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts7.jpg
418,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts8.jpg
419,https://www.wga.hu/art/a/andrea/castagno/1_1440s/08lasts9.jpg
420,https://www.wga.hu/art/a/andrea/castagno/1_1440s/09chris1.jpg
421,https://www.wga.hu/art/a/andrea/castagno/1_1440s/09chris2.jpg
422,https://www.wga.hu/art/a/andrea/castagno/2_famous/0view.jpg
423,https://www.wga.hu/art/a/andrea/castagno/2_famous/0view1.jpg
424,https://www.wga.hu/art/a/andrea/castagno/2_famous/1eve.jpg
425,https://www.wga.hu/art/a/andrea/castagno/2_famous/1lunette.jpg
426,https://www.wga.hu/art/a/andrea/castagno/2_famous/1pippo.jpg
427,https://www.wga.hu/art/a/andrea/castagno/2_famous/2acciaol.jpg
428,https://www.wga.hu/art/a/andrea/castagno/2_famous/3uberti.jpg
429,https://www.wga.hu/art/a/andrea/castagno/2_famous/4esther.jpg
430,https://www.wga.hu/art/a/andrea/castagno/2_famous/5cumean.jpg
431,https://www.wga.hu/art/a/andrea/castagno/2_famous/6tomyri.jpg
432,https://www.wga.hu/art/a/andrea/castagno/2_famous/7dante.jpg
433,https://www.wga.hu/art/a/andrea/castagno/2_famous/8boccacc.jpg
434,https://www.wga.hu/art/a/andrea/castagno/2_famous/9petrarc.jpg
435,https://www.wga.hu/art/a/andrea/castagno/3_1450s/01assump.jpg
436,https://www.wga.hu/art/a/andrea/castagno/3_1450s/02crucif.jpg
437,https://www.wga.hu/art/a/andrea/castagno/3_1450s/03david.jpg
438,https://www.wga.hu/art/a/andrea/castagno/3_1450s/05trinit.jpg
439,https://www.wga.hu/art/a/andrea/castagno/3_1450s/06julian.jpg
440,https://www.wga.hu/art/a/andrea/castagno/3_1450s/06vatica.jpg
441,https://www.wga.hu/art/a/andrea/castagno/3_1450s/07cruci1.jpg
442,https://www.wga.hu/art/a/andrea/castagno/3_1450s/07cruci2.jpg
443,https://www.wga.hu/art/a/andrea/castagno/3_1450s/08portra.jpg
444,https://www.wga.hu/art/a/andrea/castagno/3_1450s/09tolent.jpg
445,https://www.wga.hu/art/a/andrea/castagno/3_1450s/10tolent.jpg
446,https://www.wga.hu/art/a/andrea/sarto/1/annuncia.jpg
